A12ASB8854TT4, NA, 2, 141688, interest, enjoy, Male, 33, English, English, No, 2, 4, White, , Not Hispanic, It's about three feet tall and bipedal with dark short purple fur and no eyes., I would use it to try to get money in the most ethical way I could think of. Maybe I would try to sneak into big business meetings to get insider information to use on the stock market.
A2OVWCQ4B9AHFY, 600770, 0, tasktime, 5, 5, Male, 37, English, English, No, 5, 3, White, , Not Hispanic, It resembles a large pink elephant with ballerina slippers and a huge trunk., I would rob a bank vault.
A2QBFXY9UQMJTT, 658141, 0, tasktime, 4, 5, Male, 38, English, English, None, 7, 2, White, , Not Hispanic, It would phase in and out of existence much like my imagination of it. It would only be visible during REM sleep when your eyelids are flapping super fast. This would be like a camera shutter and it would allow you to see it only when your eyes are blinking at the rate of the creature's phasing in and out. It would not die when it doesn't exist it would be constructed and desconstructed rapidly from whatever matter was available in the vicinity. It would consume and replace this matter as if it were never there. It would look like whatever it uses at the time of creation - like a Katamari ball from the video game., I would probably just go to work like normal. I hate to be so boring but on the other hand I could get so much done if people didn't know I was there to bother me. I assume other people are sneaking around doing silly stuff I guess. Sorry that I am boring but the idea of being invisible at my desk with people not coming to talk to me every ten minutes about things is delightful to me.
A2QD7QFGCUNF5N, 1514155, 1, tasktime, 5, 4, Male, 33, English, English , No, 4, 4, White, , Not Hispanic, I don't know., I don't know.
A2R0YYUAWNT7UD, 436398, 0, tasktime, 1, 1, Male, 28, English, english, No, 4, 1, White, , Not Hispanic, It has neon green fur and a sharp beak with one tooth on the top and one tooth on the bottom. It has 2 legs with 1 long toe on each foot. Its eyes are neon pink., Spy on people probably steal things from stores attend places I wouldn't be allowed to had I not been invisible see movies for free etc. 
A2RBBL8G1QMVX9, 883303, 3, 676953, interest, enjoy, Male, 33, English, english, No, 6, 1, White, , Not Hispanic, it looks like a deer but is the size of a very large moose., I would go into the pentagon and research all of the classified material about our country's secrets. Just so that I knew.
A2RNCA7PK35LHT, 499926, 1, tasktime, 5, 5, Female, 40, English, english, No, 7, 5, White, , Not Hispanic, The animal is invisible so unfortunatly no one knows what it looks like., I would go everywhere I usually go and observe everything and everyone! I think it would be fascinating to see how people act when I'm not around or when they think they are alone.
A2SM1GBN4ARGM4, 587031, 0, tasktime, 5, 5, Female, 37, English, english, Yes, 6, 1, White, , Not Hispanic, A four legged beast who is both quick on all fours as it is standing on two feet. Its dark with very coarse hair. It can breath indefinitely under water and on land. It has multiple rows of fangs/teeth kind if like Pennywise in the new IT films. ITS LARGE like a t-rex and its extremely vicious. It can resemble a mythical werewolf, Id go to the bank and take all the money out of the vault. Id stash it and spend it without anyone knowing it was me to stole the money
A2TLN8489YGY81, 672587, 0, tasktime, 2, 2, Male, 32, English, English, No, 6, 1, Asian, , Not Hispanic, I'm thinking of an alien ball-like creature with many appendages. This creature comes in a variety of colors such as purple and has two eyes in the center. It rolls around to get to places., I would absolutely eavesdrop on some of the most successful investors in existence and attempt to gain some lucrative investment ideas.
A2VOX49K21M6MQ, 462350, 1, tasktime, 5, 5, Female, 46, English, english, Yes, 9, 3, White, , Hispanic, like dinosaur, i will travel the world
A2Y6K5DW6G7H0T, 935313, 1, tasktime, 5, 4, Male, 48, English, english, No, 5, 4, White, , Not Hispanic, The animal would be very large.about 7 feet tall. it would have tangle free curly hair that was soft. I would call the animal bearalicious after my scottie dog. the animal would have a lifetime like a human and would be a to speak a few words so it could tell me if it was ever hurt in any way or what it wanted to eat. the animal would live in my house and have its own room. , I would go shopping for things I like to look at. no one would bother me I could spend as much time as i wanted to. So many times in a store people bother you and ask if you want any help. I just want left alone. it would be a great time. 
A2ZXEIWT5I1E16, 329525, 2, 158854, interest, enjoy, Male, 22, English, English, No, 4, 4, White, , Hispanic, This animal has a large shell covering its head like a hat. It has a long snake-like body that comes out of the shell and it has 8 legs and a spiky tail. It can stand up while also moving around like a komodo dragon. , I would go out in the wild and watch animals live there lives. I would want to see the beauty of nature without being seen. I might go to a large forest or a desert.
A30KYQGABO7JER, 1555901, 3, 509744, interest, enjoy, Female, 35, Other, Turkish, Yes, 6, 2, White, , Not Hispanic, The animal I imagined has a bright red color that flies with four wings. It only has one long leg. It sounds heavenly when it sings everyone calms down magically. , If I had a chance to be invisible I would not use that power for my own good. I would probably do things for the society. If I wanted to use that power for my own good I would probably secretly attend expensive training courses that I cannot afford.
A30Y3H3UJ9QKWV, 521606, 3, 346084, interest, enjoy, Male, 25, English, English, No, 3, 1, Asian, , Not Hispanic, This animal has skin of a reptile and it can fly around with eyes on its front and back so it can see in all direction. It is small enough so it won't get seen easily., I would just go around steal things. I would go into places that I am not allowed to go in such as important government facilities and maybe listen in to secrets
A328CL0WG845R, NA, 0, tasktime, 4, None, Male, 29, English, English, Yes, 7, 3, White, , Not Hispanic, Humans are unusual animals by any stretch of the imagination. Our special abilities from big brains to opposable thumbs have allowed us change our world dramatically and even leave the planet., Iam going to hospital.
A3292UB6BZWMDB, 1424598, 0, tasktime, 1, 2, Male, 27, English, english, Yes, 7, 2, Asian, , Not Hispanic, The animal is many colors and has paper looking face., I would visit places that people aren't allowed to enter and spy on people.
A3388HIWAKD3DV, 234388, 2, 125655, interest, enjoy, Male, 27, English, English, No, 5, 3, White, , Not Hispanic, The animal looks like a hybrid between a piranha and body of a seal. It only eats meat and lives in salt water. The animal has a lifespan of 1000 years and they are cold blooded., If I swallowed a pill that me invisible I would mess with people. Move stuff around their house and make them think they are going crazy!
A38DXFI1TZA295, NA, 0, tasktime, NA, NA, Male, None, English, English, No, 4, 3, White, , Not Hispanic, It would have 8 legs like an octopus the fuzzy body of a lemur and the scaly head and horn of a rhino., I would sneak into the lottery ticket manufacturing plant and watch the tickets being printed to see which one is a winner and snatch it up.
A3JVAEYFE3XGQM, 329534, 2, 240178, interest, enjoy, Female, 24, English, english, Yes, 5, 2, White, , Not Hispanic, elephant, its good and easy
A3KP8KFGG6734Q, 1511056, 3, 989301, interest, enjoy, Female, 56, English, English, No, 3, 3, White, , Not Hispanic, He would be like a little miniature bison he would be the size of an 8-week pomeranian/poodle puppy. He would be precious and adorable his entire life. He would have brown and black fur with little hooves and a long tail with a little swish of fur on the end., I would just go everywhere I would sneak into people's houses that I don't like and I would totally sabotage them. Actually that is just my first instinct I do really despise a few people who've done me dirty. But I in truth I would choose to do good rather than bad I know I don't want to pay back for evil doings to others even if their evil as shiz I think Karma will take care of them so I'll just travel around the world doing good stuff but I'd certainly want to know how long the invisibility lasts. 
A3KVKK1XLBTSN3, 705580, 3, 399201, interest, enjoy, Male, 37, English, English, No, 7, 1, White, , Not Hispanic, An animal that doesn't exist nor that anyone else has imagined before would have traits unlike anything that exists as animals in my opinion.  Instead of appendages that move it the animal would move by some sort of telekinesis as an example.  Another example would be an animal that eats food by absorbing it into it's body simply by rolling over it., I would not do anything I would feel uncomfortable in this situation and would not want it to continue onwards as I feel I would have an unfair advantage in life that is not acceptable.   This platform of sorts would be something I would never want for myself.
A3LVO816U4WEEG, NA, 2, 221872, interest, enjoy, Female, 28, English, English, No, 6, 3, Other, Native American, Not Hispanic, A couple of years ago we heard news that 50% of all vertebrate species had disappeared in 40 years. On Thursday we were greeted with news that by 2020 the figure is likely to rise to 66% of all vertebrates. It is no wonder that the conservationists are shouting. It is no wonder that they are so desperate to get their message heard. Animals it seems are on the way out. And no one appears to much care. So allow me to entertain the idea of a post-animal Britain. Could we make the best of this world in true Theresa May fashion? Are animals perhaps all a bit overrated? Maybe it wouldn&#8217;t be so bad?, Went to bed with a headache woke up intermittently during the night to find it still there and got up in the morning with the same headache or one very similar to it. So I took an aspirin which stuck in my throat as pills usually do. I figured it would slide down along with my breakfast. The headache receded after a cup of caffeine solution and I forgot about my pill. After more than five hours during which I had no trouble eating or breathing I coughed the pill up unchanged. Where was it in the interim!? Can most people swallow pills without nibbling them to gravel as I usually have to?
A3PYD7EU2WFST6, 1596702, 2, 275030, interest, enjoy, Male, 30, English, English, No, 7, 2, Black, , Not Hispanic, It would probably be a huge and hairy animalwith like 3 humongous feet.The animal would also have some ugly facial features with poorly organized dentalgorging eyes and a huge hanging nose.This animal would be unapproachable and most of all disgusting to look at it.It would also be feeding on soil let alone drinking muddy waters., It would definitely take me to worlds i have never been.I would probably find myself in the middle of the Pacific building my bungalow and constructing a huge Livestock farm on it.I would find myself transporting my livestock products to the various markets in the world using a railway line connected to my 'pacific farm'.
A3PZ5UNL6UK8BX, 1108626, 1, tasktime, 5, 5, Male, 28, English, English, No, 8, 4, White, , Hispanic, It was dark dark grey in color. Almost black. It's upper body was very large in proportion to the rest of its body. It's shoulders were higher than its head. The hair on the upper body and neck as well as the head except it's face was long and matted in dreadlocks. Just above the waste it slimmed down and the hair was very short as well as a few shades lighter in color. The shorter hair revealed a very toned and muscular headquarters with a tail long as or longer than its body., Initially i took a car and load the gas fully. then travel to the Secret agents of United States and covey them to help me invigilate terrorist countryside and Kill them all as an invisible killer.
A3UD3KTZ9BC406, NA, 0, tasktime, 5, 5, Female, 26, English, english, Yes, 9, 1, White, , Not Hispanic, yes this animation animal was very likely., suddenly i will go hospital.
A3V06PKJGI7OY, 350606, 0, tasktime, 4, 3, Male, 30, English, English, Yes, 6, 3, White, , Hispanic, Nothing, Nothing
A3V92Z4UXBEPOM, 977250, 3, 709211, interest, enjoy, Male, 67, English, English, No, 4, 3, White, , Not Hispanic, A fishcat looks like a furry cat for the head and a fish-like body and is about the size of a house cat., I would go all over because I would like to be unnoticed most everywhere. There is no specific place I would go for any nefarious purpose just out in public where I did not want to be the center of attention.
AA3240MSZNQIZ, 640615, 0, tasktime, 4, 4, Female, 51, English, english, No, 9, 3, White, , Not Hispanic, That animal is look like a lion but it is lager in size like an elephant., I will travel to movies shooting spot.
AD0NVUGLDYDYN, NA, 1, tasktime, 3, 2, Female, 29, English, English, Yes, 6, 1, Asian, , Not Hispanic, The animal has 6 eyes and 20 tentacles which have small ears all over them. It can sense 360 degree surrounding it's blue and likes to float around., I would go to different countries and travel more and see what this world is like everywhere. I don't need to worry about travel fees since i'm invisible.
AIQ1I6ODSIO56, NA, 2, NA, interest, enjoy, Male, None, English, English, No, 3, 3, White, , Not Hispanic, It looks like a cat but it also has wings. So it's fluffy and furry has whiskers and cat eyes with cat paws and claws but it also has big furry wings and can fly away like a bird!, I gotta be honest I'd probably find a way to make money off of this. I think I might go to the lottery ticket factory and find the cards are winners. Or maybe I'd find my way into the boardroom of major companies and see if I could get some insider information that would lead me to making some money on the stock market.
AJRY9ALX8069Y, 538138, 0, tasktime, 5, 5, Female, 36, English, English, No, 6, 2, White, , Not Hispanic, It is very overweight and spotted. It has stripes on its face. It is very furry. It loves to read books. It has horns in its mouth and a long chameleon tongue., I would get closer to birds I want to photograph. I would use it to get closer to aniamls and birds to photograph them since I'm a nature photographer. I would probably go into theaters and zoos so I didn't have to pay.
AVBRJBJONL47I, NA, 3, NA, interest, enjoy, Female, None, English, English, No, 3, 4, White, , Not Hispanic, I think this animal is one that lives on land but has scales. It's got four legs and a tail. The scales that it has really change color the way people think chameleons do but for real: ie it can turn purple or red or blue. No one actually knows what its real color is!, I'm not sure what I would do. First I thought I would try to be a fly on the wall so that I could hear what other people thought of me. But I wouldn't want to do that really what if I learned something I don't want to know? I think instead I would go somewhere I normally wouldn't have access - backstage at the opera or into the white house to see what it really is like. I think I would follow someone like the pope through his day so I could see what really happens.
AVPW7AXI9AFSM, 453322, 1, tasktime, 4, 4, Male, 20, English, ENG, No, 6, 1, White, , Not Hispanic, This animal is very unique it has four hands at the bottom of it body that it uses as feet., I would go to a mansion and steal some stuff.
AXMPSUNKUBEIL, 431578, 0, tasktime, 4, 5, Male, 38, English, English, No, 6, 2, White, , Not Hispanic, It looks like a large polka-dotted potato with legs., I would go anywhere as invisibility is not a proven defense against coronavirus. 
AY3W2L53R7EL3, NA, 1, tasktime, 5, 5, Male, 25, English, english, No, 5, 2, White, , Not Hispanic, the animal will look like white angel with attractive and appealing features such as blue eyescurly and shining hair., suppose i swallowed a pill that made me invisiblei would go to other planets to see the adventure and beauty of nature. i believe there are more out there than what it is on earth.it will be a great pleasure to seek knowledge of the universe
AYDB9H4888F3T, 263159, 3, 211624, interest, enjoy, Female, 30, English, English, Yes, 7, 4, White, , Not Hispanic, cute animal, is very ciute
